,name,link,color_id,percent_of_meta,no_of_decks
0,Izzet Delver,https://www.mtggoldfish.com/archetype/legacy-izzet-delver#paper,"['blue', 'red']",18.6%,59)
1,Reanimator,https://www.mtggoldfish.com/archetype/legacy-reanimator#paper,"['white', 'black', 'red']",6.6%,21)
2,Elves,https://www.mtggoldfish.com/archetype/legacy-elves#paper,"['white', 'blue', 'black', 'red', 'green']",6.0%,19)
3,Doomsday,https://www.mtggoldfish.com/archetype/legacy-doomsday#paper,"['blue', 'black', 'green']",5.4%,17)
4,Painter,https://www.mtggoldfish.com/archetype/legacy-painter#paper,['red'],4.7%,15)
5,Jeskai Control,https://www.mtggoldfish.com/archetype/legacy-jeskai-control#paper,"['white', 'blue', 'red']",4.7%,15)
6,Jeskai Ragavan,https://www.mtggoldfish.com/archetype/legacy-jeskai-ragavan#paper,"['white', 'blue', 'red']",4.4%,14)
7,4C Control,https://www.mtggoldfish.com/archetype/legacy-4c-control#paper,"['white', 'blue', 'red', 'green']",4.4%,14)
8,Lands,https://www.mtggoldfish.com/archetype/legacy-lands#paper,"['white', 'green']",4.1%,13)
9,Selesnya Depths,https://www.mtggoldfish.com/archetype/legacy-selesnya-depths#paper,"['white', 'green']",3.5%,11)
10,8-Cast,https://www.mtggoldfish.com/archetype/legacy-8-cast#paper,"['white', 'blue']",3.5%,11)
11,Death and Taxes,https://www.mtggoldfish.com/archetype/legacy-death-and-taxes#paper,['white'],3.1%,10)
12,Madness,https://www.mtggoldfish.com/archetype/legacy-madness#paper,"['black', 'red', 'green']",2.8%,9)
13,Bant Control,https://www.mtggoldfish.com/archetype/legacy-bant-control#paper,"['white', 'blue', 'green']",2.5%,8)
14,Mono-Green Cloudpost,https://www.mtggoldfish.com/archetype/legacy-mono-green-cloudpost#paper,['green'],2.2%,7)
15,Stoneblade,https://www.mtggoldfish.com/archetype/legacy-stoneblade#paper,"['white', 'blue', 'red']",2.2%,7)
16,Blue Zenith,https://www.mtggoldfish.com/archetype/legacy-blue-zenith#paper,"['white', 'blue', 'black', 'green']",2.2%,7)
17,Oops! All Spells,https://www.mtggoldfish.com/archetype/legacy-oops-all-spells#paper,"['blue', 'black', 'green']",1.6%,5)
18,Bomberman,https://www.mtggoldfish.com/archetype/legacy-bomberman#paper,"['white', 'blue']",1.3%,4)
19,Grixis Tempo,https://www.mtggoldfish.com/archetype/legacy-grixis-tempo#paper,"['blue', 'black', 'red']",1.3%,4)
20,Ninjas,https://www.mtggoldfish.com/archetype/legacy-ninjas#paper,"['blue', 'black']",0.9%,3)
21,Standstill,https://www.mtggoldfish.com/archetype/legacy-standstill#paper,"['white', 'blue']",0.9%,3)
22,Maverick,https://www.mtggoldfish.com/archetype/legacy-maverick#paper,"['white', 'black', 'green']",0.9%,3)
23,Burn,https://www.mtggoldfish.com/archetype/legacy-burn#paper,['red'],0.9%,3)
24,Sultai Depths,https://www.mtggoldfish.com/archetype/legacy-sultai-depths#paper,['black'],0.9%,3)
25,The EPIC Storm,https://www.mtggoldfish.com/archetype/legacy-the-epic-storm#paper,"['white', 'blue', 'black', 'red', 'green']",0.9%,3)
26,Curses,https://www.mtggoldfish.com/archetype/legacy-curses#paper,"['white', 'black']",0.6%,2)
27,Aluren,https://www.mtggoldfish.com/archetype/legacy-aluren#paper,"['white', 'blue', 'black', 'green']",0.6%,2)
28,Blood Moon Aggro,https://www.mtggoldfish.com/archetype/legacy-blood-moon-aggro#paper,['red'],0.6%,2)
29,Abzan Loam,https://www.mtggoldfish.com/archetype/legacy-abzan-loam#paper,"['white', 'black', 'green']",0.6%,2)
30,Ad Nauseam Tendrils,https://www.mtggoldfish.com/archetype/legacy-ad-nauseam-tendrils#paper,"['blue', 'black', 'red']",0.6%,2)
31,Enchantress,https://www.mtggoldfish.com/archetype/legacy-enchantress#paper,"['white', 'green']",0.6%,2)
32,Death's Shadow,https://www.mtggoldfish.com/archetype/legacy-death-s-shadow#paper,"['blue', 'black']",0.6%,2)
33,Goblins,https://www.mtggoldfish.com/archetype/legacy-goblins#paper,"['black', 'red', 'green']",0.6%,2)
34,Sneak and Show,https://www.mtggoldfish.com/archetype/legacy-sneak-and-show#paper,"['blue', 'black', 'red']",0.6%,2)
35,Temur Delver,https://www.mtggoldfish.com/archetype/legacy-temur-delver#paper,"['blue', 'red', 'green']",0.6%,2)
36,Omni-Tell,https://www.mtggoldfish.com/archetype/legacy-omni-tell#paper,"['blue', 'black', 'green']",0.6%,2)
37,Mystic Forge Combo,https://www.mtggoldfish.com/archetype/legacy-mystic-forge-combo#paper,"['white', 'blue']",0.3%,1)
38,Colorless Cloudpost,https://www.mtggoldfish.com/archetype/legacy-colorless-cloudpost#paper,[],0.3%,1)
39,The EPIC Gamble,https://www.mtggoldfish.com/archetype/legacy-the-epic-gamble#paper,"['blue', 'black', 'red']",0.3%,1)
40,LED Dredge,https://www.mtggoldfish.com/archetype/legacy-led-dredge#paper,"['white', 'blue', 'black', 'red', 'green']",0.3%,1)
41,Nic Fit,https://www.mtggoldfish.com/archetype/legacy-nic-fit#paper,"['black', 'green']",0.3%,1)
42,Food Chain,https://www.mtggoldfish.com/archetype/legacy-food-chain#paper,"['blue', 'red', 'green']",0.3%,1)
43,Merfolk,https://www.mtggoldfish.com/archetype/legacy-merfolk#paper,['blue'],0.3%,1)
44,4c Loam,https://www.mtggoldfish.com/archetype/legacy-4c-loam#paper,"['white', 'blue', 'black', 'green']",0.3%,1)
