,name,link,color_id,percent_of_meta,no_of_decks
0,Hammer Time,https://www.mtggoldfish.com/archetype/modern-hammer-time#paper,"['white', 'black']",13.5%,64)
1,Death's Shadow,https://www.mtggoldfish.com/archetype/modern-death-s-shadow-472#paper,"['blue', 'black', 'red']",12.7%,60)
2,Blink,https://www.mtggoldfish.com/archetype/modern-blink#paper,"['white', 'blue', 'red', 'green']",10.6%,50)
3,Murktide Regent,https://www.mtggoldfish.com/archetype/modern-murktide-regent#paper,"['blue', 'red']",7.0%,33)
4,Crashing Footfalls,https://www.mtggoldfish.com/archetype/modern-crashing-footfalls#paper,"['blue', 'red', 'green']",5.7%,27)
5,Burn,https://www.mtggoldfish.com/archetype/burn-a2dd1132-5301-4882-907a-7b668da3b58a#paper,"['white', 'red']",5.1%,24)
6,Jund,https://www.mtggoldfish.com/archetype/jund#paper,"['black', 'red', 'green']",4.8%,23)
7,Amulet Titan,https://www.mtggoldfish.com/archetype/amulet-titan#paper,['green'],3.2%,15)
8,Blue Living End,https://www.mtggoldfish.com/archetype/modern-blue-living-end#paper,"['blue', 'black', 'red', 'green']",2.3%,11)
9,Mono-Green Tron,https://www.mtggoldfish.com/archetype/modern-mono-green-tron#paper,['green'],2.3%,11)
10,Mill,https://www.mtggoldfish.com/archetype/modern-mill#paper,"['white', 'blue']",2.3%,11)
11,Yawgmoth,https://www.mtggoldfish.com/archetype/modern-yawgmoth-9bd3dc9a-1da1-442e-9b88-6ef2a027e80b#paper,"['black', 'green']",2.3%,11)
12,Belcher,https://www.mtggoldfish.com/archetype/modern-belcher-e9e93d4f-ed4a-44f6-9173-f8bd560e3900#paper,"['red', 'green']",1.7%,8)
13,Gruul Midrange,https://www.mtggoldfish.com/archetype/red-green-midrange#paper,"['red', 'green']",1.7%,8)
14,Azorius Control,https://www.mtggoldfish.com/archetype/wu-68d6e340-6601-4aab-9a70-4bdccc013e7e#paper,"['white', 'blue']",1.7%,8)
15,5c Omnath,https://www.mtggoldfish.com/archetype/modern-5c-omnath#paper,"['white', 'blue', 'red', 'green']",1.5%,7)
16,Prowess,https://www.mtggoldfish.com/archetype/modern-prowess#paper,"['white', 'red']",1.3%,6)
17,Dredge,https://www.mtggoldfish.com/archetype/dredge#paper,"['white', 'blue', 'black', 'red']",1.3%,6)
18,Affinity,https://www.mtggoldfish.com/archetype/modern-affinity#paper,"['white', 'blue']",1.0%,5)
19,Rakdos Midrange,https://www.mtggoldfish.com/archetype/modern-rakdos-midrange#paper,"['black', 'red']",1.0%,5)
20,Thopter Combo,https://www.mtggoldfish.com/archetype/modern-thopter-combo#paper,"['white', 'blue']",0.8%,4)
21,Infect,https://www.mtggoldfish.com/archetype/infect#paper,"['black', 'green']",0.8%,4)
22,Glimpse Combo,https://www.mtggoldfish.com/archetype/modern-glimpse-combo#paper,"['white', 'blue', 'red', 'green']",0.8%,4)
23,Reanimator,https://www.mtggoldfish.com/archetype/modern-reanimator#paper,"['white', 'blue', 'black']",0.8%,4)
24,Elementals,https://www.mtggoldfish.com/archetype/modern-elementals#paper,"['white', 'blue', 'red', 'green']",0.8%,4)
25,Esper Control,https://www.mtggoldfish.com/archetype/esper-control-76ae2abf-cf6d-45f1-aec6-c04085130a05#paper,"['white', 'blue', 'black']",0.6%,3)
26,Hardened Scales,https://www.mtggoldfish.com/archetype/g#paper,"['white', 'green']",0.6%,3)
27,Grixis Control,https://www.mtggoldfish.com/archetype/modern-grixis-control#paper,"['blue', 'black', 'red']",0.6%,3)
28,Goblins,https://www.mtggoldfish.com/archetype/goblins#paper,"['black', 'red', 'green']",0.6%,3)
29,Naya Midrange,https://www.mtggoldfish.com/archetype/modern-naya-midrange-c4640368-73a0-4bc3-bb08-37fbc1eb68a4#paper,"['white', 'red', 'green']",0.6%,3)
30,Oops! All Spells,https://www.mtggoldfish.com/archetype/modern-oops-all-spells#paper,"['white', 'blue', 'black', 'green']",0.6%,3)
31,Jeskai Control,https://www.mtggoldfish.com/archetype/jeskai-control-42a2c2ee-6eb3-4db1-8da6-eaec7077a1e0#paper,"['white', 'blue', 'red']",0.6%,3)
32,Eldrazi Tron,https://www.mtggoldfish.com/archetype/eldrazi-tron#paper,[],0.4%,2)
33,Mardu Midrange,https://www.mtggoldfish.com/archetype/modern-mardu-midrange-51beeeba-e893-4199-b962-f6e2eb76ff49#paper,"['white', 'black', 'red']",0.4%,2)
34,Selesnya Lifegain,https://www.mtggoldfish.com/archetype/modern-selesnya-lifegain#paper,"['white', 'green']",0.4%,2)
35,Boros Midrange,https://www.mtggoldfish.com/archetype/modern-boros-midrange#paper,"['white', 'red']",0.4%,2)
36,Eldrazi,https://www.mtggoldfish.com/archetype/modern-eldrazi#paper,['red'],0.4%,2)
37,Obosh Aggro,https://www.mtggoldfish.com/archetype/modern-obosh-aggro#paper,['red'],0.4%,2)
38,Generic Ragavan,https://www.mtggoldfish.com/archetype/modern-generic-ragavan#paper,"['white', 'black', 'red']",0.4%,2)
39,Death & Taxes,https://www.mtggoldfish.com/archetype/death-amp-taxes#paper,['white'],0.4%,2)
40,Titan Shift,https://www.mtggoldfish.com/archetype/modern-titan-shift#paper,"['red', 'green']",0.4%,2)
41,Martyr Proc,https://www.mtggoldfish.com/archetype/modern-martyr-proc#paper,['white'],0.4%,2)
42,Spirits,https://www.mtggoldfish.com/archetype/modern-spirits#paper,"['white', 'blue']",0.4%,2)
43,Indomitable Creativity,https://www.mtggoldfish.com/archetype/modern-indomitable-creativity#paper,"['white', 'blue', 'red', 'green']",0.4%,2)
44,Dimir Control,https://www.mtggoldfish.com/archetype/modern-dimir-control#paper,"['blue', 'black']",0.2%,1)
45,4c Tempo,https://www.mtggoldfish.com/archetype/modern-4c-tempo-bee9ed77-a960-481d-9213-1395ffa556e9#paper,"['white', 'blue', 'black', 'red']",0.2%,1)
46,Bant Control,https://www.mtggoldfish.com/archetype/modern-bant-control#paper,"['white', 'blue', 'green']",0.2%,1)
47,Slivers,https://www.mtggoldfish.com/archetype/slivers#paper,"['white', 'blue', 'black', 'red', 'green']",0.2%,1)
48,Shamans,https://www.mtggoldfish.com/archetype/modern-shamans#paper,"['red', 'green']",0.2%,1)
49,Merfolk,https://www.mtggoldfish.com/archetype/merfolk#paper,['blue'],0.2%,1)
50,Twiddle Storm,https://www.mtggoldfish.com/archetype/modern-twiddle-storm#paper,"['white', 'blue', 'black', 'red', 'green']",0.2%,1)
51,Mono-Blue Tron,https://www.mtggoldfish.com/archetype/mono-blue-tron#paper,['blue'],0.2%,1)
52,Crab Vine,https://www.mtggoldfish.com/archetype/crabvine#paper,"['blue', 'black', 'green']",0.2%,1)
53,Enchantress,https://www.mtggoldfish.com/archetype/modern-enchantress#paper,"['white', 'blue', 'red', 'green']",0.2%,1)
54,Grinding Station,https://www.mtggoldfish.com/archetype/modern-grinding-station#paper,"['blue', 'red']",0.2%,1)
55,Blue-Red Control,https://www.mtggoldfish.com/archetype/blue-red-control#paper,"['blue', 'red']",0.2%,1)
56,8-Rack,https://www.mtggoldfish.com/archetype/modern-8-rack#paper,['black'],0.2%,1)
57,Lantern,https://www.mtggoldfish.com/archetype/modern-lantern#paper,"['white', 'black', 'green']",0.2%,1)
58,Enigmatic Incarnation,https://www.mtggoldfish.com/archetype/modern-enigmatic-incarnation#paper,"['white', 'blue', 'red', 'green']",0.2%,1)
59,Asmo Food,https://www.mtggoldfish.com/archetype/modern-asmo-food#paper,"['black', 'green']",0.2%,1)
