,name,link,color_id,percent_of_meta,no_of_decks
0,Mono-Green Aggro,https://www.mtggoldfish.com/archetype/standard-mono-green-aggro-znr#paper,['green'],20.3%,37)
1,Izzet Dragons,https://www.mtggoldfish.com/archetype/standard-izzet-dragons-znr#paper,"['blue', 'red']",15.4%,28)
2,Izzet Control,https://www.mtggoldfish.com/archetype/standard-izzet-control-znr#paper,"['blue', 'red']",13.2%,24)
3,Mono-White Aggro ️,https://www.mtggoldfish.com/archetype/standard-mono-white-aggro-znr#paper,['white'],11.0%,20)
4,Temur Midrange,https://www.mtggoldfish.com/archetype/standard-temur-midrange-znr-6ba82792-619f-47fa-80c2-6704b0218f0e#paper,"['blue', 'red', 'green']",6.0%,11)
5,Naya Midrange,https://www.mtggoldfish.com/archetype/standard-naya-midrange-znr-ac520ea0-56fb-44cf-91c1-9e3f90d6ea81#paper,"['white', 'red', 'green']",5.0%,9)
6,Esper Control,https://www.mtggoldfish.com/archetype/standard-esper-control-znr-bdd28105-4ef9-4a70-a2bd-e2c15874f93e#paper,"['white', 'blue', 'black']",5.0%,9)
7,Jund Midrange,https://www.mtggoldfish.com/archetype/standard-jund-midrange-znr-23c5e709-fbef-4941-a25f-9bda5bbb182c#paper,"['black', 'red', 'green']",4.4%,8)
8,Grixis Control,https://www.mtggoldfish.com/archetype/standard-grixis-control-znr#paper,"['blue', 'black', 'red']",3.8%,7)
9,Naya Aggro,https://www.mtggoldfish.com/archetype/standard-naya-aggro-znr-02f143bc-722a-4f2b-a7a1-9b3dd151e6dd#paper,"['white', 'red', 'green']",2.8%,5)
10,Dimir Control,https://www.mtggoldfish.com/archetype/standard-dimir-control-znr-46f21709-a29a-4601-8b3d-e8e22612ab51#paper,"['blue', 'black']",2.2%,4)
11,Orzhov Control,https://www.mtggoldfish.com/archetype/standard-orzhov-control-znr#paper,"['white', 'black']",2.2%,4)
12,Orzhov Midrange,https://www.mtggoldfish.com/archetype/standard-orzhov-midrange-znr-16367#paper,"['white', 'black']",1.6%,3)
13,Golgari Control,https://www.mtggoldfish.com/archetype/standard-golgari-control-znr#paper,"['black', 'green']",1.1%,2)
14,Mono-Black Aggro,https://www.mtggoldfish.com/archetype/standard-mono-black-aggro-znr#paper,['black'],1.1%,2)
15,Esper Control,https://www.mtggoldfish.com/archetype/standard-esper-control-znr#paper,"['white', 'blue', 'black']",0.6%,1)
16,Mardu Aggro,https://www.mtggoldfish.com/archetype/standard-mardu-aggro-znr#paper,"['white', 'black', 'red']",0.6%,1)
17,Esper Clerics,https://www.mtggoldfish.com/archetype/standard-esper-clerics-znr#paper,"['white', 'blue', 'black']",0.6%,1)
18,Gruul Midrange,https://www.mtggoldfish.com/archetype/standard-gruul-midrange-znr#paper,"['red', 'green']",0.6%,1)
19,Orzhov Clerics,https://www.mtggoldfish.com/archetype/standard-orzhov-clerics-znr#paper,"['white', 'black']",0.6%,1)
20,Rakdos Midrange,https://www.mtggoldfish.com/archetype/standard-rakdos-midrange-znr#paper,"['black', 'red']",0.6%,1)
21,Grixis Dragons,https://www.mtggoldfish.com/archetype/standard-grixis-dragons-znr#paper,"['blue', 'black', 'red']",0.6%,1)
22,Azorius Tempo,https://www.mtggoldfish.com/archetype/standard-azorius-tempo-znr#paper,"['white', 'blue']",0.6%,1)
23,Dimir Control,https://www.mtggoldfish.com/archetype/standard-dimir-control-znr#paper,"['blue', 'black']",0.6%,1)
